Navn,Antal
PETER,46981
MICHAEL,44487
LARS,43598
JENS,42947
THOMAS,41965
HENRIK,41264
SØREN,39127
CHRISTIAN,37558
MARTIN,37033
JAN,36546
MORTEN,33664
JESPER,33500
ANDERS,33499
NIELS,32751
MADS,32139
RASMUS,30303
PER,29217
MIKKEL,29127
HANS,28573
KIM,28402
OLE,28204
JØRGEN,28015
ERIK,25456
FREDERIK,24636
JOHN,24021
EMIL,23300
JONAS,23004
MATHIAS,22714
CLAUS,21199
DANIEL,21037
SIMON,20754
JACOB,20280
ANDREAS,19979
POUL,19968
KASPER,19638
TORBEN,19356
OLIVER,18963
FLEMMING,18719
BRIAN,18042
CARSTEN,17881
BENT,17641
MAGNUS,17633
ALLAN,16554
LASSE,16551
JAKOB,16514
KRISTIAN,15893
SEBASTIAN,15772
TOBIAS,15197
BJARNE,15146
ALEXANDER,15032
FINN,14792
HENNING,14399
WILLIAM,14300
KENNETH,13832
STEEN,13564
SVEND,13029
LEIF,12753
KURT,12172
BENJAMIN,12065
MOGENS,11827
KNUD,11668
CASPER,11613
NOAH,11593
DENNIS,11325
JEPPE,11101
BO,10975
VICTOR,10911
LUCAS,10489
FRANK,10370
NIKOLAJ,9892
PREBEN,9775
NICOLAI,9716
ARNE,9629
RENÉ,9506
CARL,9457
ANTON,9289
DAVID,8965
KLAUS,8922
MARCUS,8874
KARSTEN,8862
TOMMY,8719
PATRICK,8449
KARL,8363
JOHNNY,8348
JØRN,8109
JOHAN,8055
MALTHE,7858
ELIAS,7762
GUSTAV,7761
KAJ,7460
NICKLAS,7324
LUKAS,7063
OSCAR,7041
ADAM,6998
JOHANNES,6991
AUGUST,6987
VALDEMAR,6950
STEFFEN,6670
ALFRED,6667
BENNY,6643
PALLE,6460
MARK,6385
DAN,6339
JONATHAN,6322
ASGER,6289
TOM,6203
CHRISTOFFER,6173
RUNE,6167
GERT,6155
PHILIP,6067
BJØRN,6060
MARIUS,5830
AKSEL,5650
STEFAN,5572
VIKTOR,5542
IB,5513
000,5511
KJELD,5484
OSKAR,5478
MOHAMMAD,5314
MIKAEL,5304
ALEX,5287
ALBERT,5004
ALI,4980
OVE,4923
FELIX,4906
ERLING,4900
RENE,4897
IVAN,4739
VIGGO,4662
ROBERT,4657
MAX,4631
STIG,4623
PEDER,4469
KELD,4434
VILLADS,4361
OTTO,4295
KRISTOFFER,4286
MIKE,4230
TROELS,4226
ULRIK,4153
LIAM,4143
ARTHUR,4139
THOR,4119
SILAS,4052
BØRGE,3785
HOLGER,3688
MALTE,3672
BERTRAM,3653
VAGN,3634
ESBEN,3605
KENT,3555
LAURITS,3521
KEVIN,3509
JULIUS,3435
STORM,3367
NICOLAJ,3344
AHMAD,3323
NIKLAS,3299
THEODOR,3299
EGON,3285
LEO,3262
JIMMY,3259
GUNNAR,3252
HUGO,3237
ASBJØRN,3071
SUNE,3053
SIGURD,3020
MARKUS,2998
LAUGE,2984
EBBE,2979
CHRISTOPHER,2951
ELLIOT,2935
TIM,2886
MARC,2881
HJALTE,2873
AXEL,2871
THEO,2852
HELGE,2814
VILLY,2795
TONNY,2778
UFFE,2760
TRISTAN,2731
BASTIAN,2721
BJARKE,2716
TAGE,2714
MOHAMED,2616
AAGE,2549
SAMUEL,2523
PAUL,2516
NICK,2511
JON,2507
MOHAMAD,2434
ANKER,2417
MARCO,2410
GABRIEL,2397
SVEN,2387
JOACHIM,2382
THEIS,2354
PELLE,2351
SYLVESTER,2285
FREDE,2276
ADRIAN,2265
SANDER,2249
PHILLIP,2240
MOHAMMED,2233
HENRY,2229
JIMMI,2218
JACK,2204
NILS,2201
JES,2183
CHRIS,2182
ASKE,2157
LOUIS,2135
FILIP,2131
KAI,2120
VERNER,2114
MUHAMMAD,2089
MUSTAFA,2082
SOFUS,2054
IBRAHIM,2036
MAGNE,2030
NIKOLAI,2024
LUDVIG,1981
BIRGER,1948
FREDDY,1938
AHMED,1916
MILAS,1898
STEN,1895
JANNIK,1882
BRUNO,1880
DANNY,1869
RONNI,1856
VINCENT,1853
CHARLIE,1842
NOHR,1768
VILLUM,1764
NICOLAS,1741
NICLAS,1727
OMAR,1711
LUCA,1703
LEON,1693
HARALD,1689
KONRAD,1678
ERNST,1670
RICHARD,1665
NICHOLAS,1654
KALLE,1651
BIRK,1567
ORLA,1546
JOAKIM,1543
EIGIL,1530
ANDRÉ,1486
THORKILD,1477
ISAK,1454
ROLF,1453
MALIK,1450
MATIAS,1448
JIM,1431
VITUS,1414
MEHMET,1413
HASSAN,1408
EJVIND,1392
JULIAN,1392
JANNICK,1386
LENNART,1378
HARRY,1367
ROBIN,1337
JANUS,1325
LINUS,1320
DANNI,1313
PAW,1313
MILO,1303
GEORG,1299
PEER,1296
BERTIL,1288
OLEKSANDR,1275
THORBJØRN,1273
TOMAS,1271
CONRAD,1268
KEN,1265
ABDUL,1241
KENN,1236
HECTOR,1219
MAHMOUD,1219
VILHELM,1216
HEINE,1212
JAMES,1202
GLENN,1192
FREJ,1182
TOKE,1178
LOUIE,1173
WILLY,1170
STEVEN,1168
NICHLAS,1151
NICKI,1150
AMIR,1147
MICHAL,1147
YUSUF,1144
RONNIE,1139
LAU,1134
LOUI,1127
ESKILD,1104
ALAN,1097
MILAN,1095
RUBEN,1088
KIAN,1087
JESS,1086
MATTI,1085
FRODE,1070
TORSTEN,1058
CORNELIUS,1047
CARLO,1043
TUE,1041
GORM,1033
MUHAMMED,1025
JAMIE,1017
WALTER,1017
TOMASZ,1012
PIOTR,1009
JONATAN,1000
ALEKSANDER,980
TONY,971
LAUST,969
KENNY,968
EJNER,958
HASAN,942
SEAN,929
HUSSEIN,922
STEPHAN,918
HAMZA,914
KRZYSZTOF,914
SONNY,907
SAMI,902
STEFFAN,900
IAN,895
EJNAR,893
FRITS,884
TONNI,870
MARCIN,869
TEDDY,865
BUSTER,864
PAWEL,863
HARDY,856
KÅRE,853
CLAES,845
EDDIE,845
LAURIDS,842
VILFRED,840
MATTHIAS,837
ULRICH,836
LUKASZ,834
KENNET,829
ISMAIL,828
ABDULLAH,824
GUNNER,816
LUKA,814
ANAS,804
DENIS,804
POUL-ERIK,799
LAURITZ,794
POVL,790
BENDT,788
HERMAN,784
JOHNNI,770
AHMET,768
KHALED,768
ROMAN,767
JAKUB,758
BILAL,752
KRESTEN,745
ALVIN,744
OLAV,742
WALTHER,739
ERIC,737
KENNI,736
NOR,733
ASK,729
VAN,728
ANDREW,725
HANS-HENRIK,715
MATHEO,715
OSMAN,712
KAARE,709
YASIN,708
ADNAN,706
ULF,703
YOUSEF,702
NIS,699
LUIS,694
CHARLES,693
JUAN,690
JASON,689
RYAN,689
JEAN,688
JOSHUA,688
STEPHEN,681
VALENTIN,681
XANDER,680
JOSEF,668
MARCEL,665
JOSEPH,664
ALF,660
HALFDAN,643
ANDREI,635
GRZEGORZ,634
LOKE,633
DMYTRO,632
MICK,632
AMIN,631
ISAAC,630
SAMIR,624
MICHEL,623
EJGIL,620
CARLOS,619
MAREK,619
WILHELM,619
ARTUR,613
MATEUSZ,613
DENIZ,611
ANDY,595
MARVIN,591
DITLEV,589
ESKE,588
MIKAIL,588
RONNY,588
TORE,587
DAMIAN,585
MATTHEW,584
BILLE,572
GREGERS,572
VOLODYMYR,569
ANDRII,567
ANDRZEJ,567
MASON,567
CHRISTEN,565
VALDE,565
CONSTANTIN,563
KAMIL,562
ALEXANDRU,557
GEORGE,554
EMIR,553
HUBERT,544
MATTIAS,544
TINO,544
SAID,543
ELMER,541
MAKSYM,539
OLAF,538
YOUSSEF,533
RALF,532
KRISTEN,531
EVALD,530
HEINRICH,529
ANTONIO,528
RAFAL,528
SAM,528
NOA,526
OLUF,526
MATTEO,525
HASSE,521
MURAT,521
MARIO,514
MICKEY,514
LUI,511
MATEO,510
HANNIBAL,509
JOSE,506
MARIUSZ,506
SERHII,504
NICKY,500
ERLAND,499
KARLO,498
ASMUS,494
ATLAS,494
HERLUF,492
PIERRE,491
YUNUS,491
ANDRE,487
ELLIOTT,486
EIK,485
KLAVS,484
RUDI,483
KHALID,482
ROLAND,482
BALDER,481
MACIEJ,481
TOR,481
INGOLF,478
LEANDER,477
HEINO,476
JEFF,473
MAXIMILIAN,470
CARL-EMIL,469
FRITZ,469
ENES,465
OSVALD,465
KRIS,463
CASPAR,461
JAMAL,459
IGOR,458
WILLUM,458
DAWID,456
KASPAR,456
LEONARDO,456
IVAR,454
MUSA,453
VESTER,453
ADEM,450
ANTHONY,450
PATRIK,448
RICO,448
ARTEM,446
WERNER,446
DARIUSZ,442
KARIM,442
ZAKARIA,440
BORIS,438
FREDRIK,438
CRISTIAN,437
MELVIN,436
FABIAN,435
FRANS,435
ELO,430
JUSTIN,430
MIKAS,428
WALID,428
ILYAS,427
MIGUEL,426
DION,425
JASPER,425
RONALD,424
ZANDER,424
YOUNES,423
JARL,421
ÖMER,420
BERTEL,418
SOPHUS,416
EDWARD,414
ESKIL,414
MARIAN,413
HAMID,410
MIHAI,410
NIKOLAS,410
MARKO,408
BOGDAN,407
DOMINIK,407
SVEND-ERIK,407
WOJCIECH,406
RICKY,405
SYED,403
ARON,399
JONNY,395
HANS-JØRGEN,394
WILFRED,393
IONUT,392
,392
MICAS,391
NICO,391
JOEL,390
KENAN,390
EVAN,387
EINAR,386
MANFRED,385
WALDEMAR,385
EMRE,383
HUXI,383
RAMAZAN,381
FLORIN,380
THORSTEN,379
NOAM,377
ALEKSANDAR,376
ELI,375
JACEK,375
MAHDI,369
LEVI,368
MARINUS,368
MD,367
FALKE,366
KHALIL,366
ZACHARIAS,366
MARLEY,365
PATRYK,364
VLADYSLAV,364
ANTHON,363
SEJR,361
WILLADS,359
ABBAS,358
TEIS,357
IVER,352
DEAN,350
MALEK,349
ROMEO,346
PEDRO,345
VASILE,345
ABDI,344
FREDDIE,344
VITALII,342
HAKAN,341
EDVARD,340
MANUEL,337
THORKIL,337
UWE,336
PABLO,335
FRANZ,334
SEYED,331
EMMANUEL,329
JAROSLAW,329
KELL,328
MICKI,328
ZAKARIAS,328
JACKIE,327
GERHARD,325
RAMI,325
KACPER,324
THUE,324
DIEGO,323
ISA,323
RAFAEL,323
EMIN,322
HÜSEYIN,322
MADS-EMIL,321
TJALFE,321
DANNIE,320
ION,320
VILLIAM,320
HALIL,318
HANS-CHRISTIAN,318
BERNT,317
SLAWOMIR,317
MIK,316
BILL,315
MIRAN,315
RICKI,314
MORGAN,313
CALVIN,311
NIELS-ERIK,311
HADI,309
HEKTOR,309
NOEL,309
VLADIMIR,309
ARVID,307
EMANUEL,307
PRZEMYSLAW,306
NORD,305
SCOTT,305
KARL-EMIL,304
MYKOLA,304
FRANCESCO,303
FRANCISCO,302
HERBERT,302
ABDIRAHMAN,300
MYKHAILO,300
AYMAN,299
HELMER,298
GEERT,297
JOHANN,297
ROAR,296
SZYMON,296
BROR,293
NICHOLAI,293
IMRAN,292
THORVALD,292
MATTIS,291
MEHDI,291
VILLAS,291
ARNOLD,290
ARKADIUSZ,289
FATIH,289
GHEORGHE,289
HENRI,288
ELTON,287
HARIS,287
LINDY,287
AARON,284
OLEKSII,284
ADEL,283
JANN,281
KAROL,280
ANDREA,279
BERNHARD,279
JOE,279
BARTOSZ,277
BOYE,274
KAMAL,274
LUKE,274
FLORIAN,273
FOLKE,273
GLEN,273
REZA,272
HJALMAR,271
NORR,271
SEJER,271
TIMOTHY,271
YAHYA,270
KEMAL,268
SEVERIN,268
EMILIO,266
TORKILD,265
ALBERTO,264
NABIL,264
NIKOLA,264
TONI,264
ABDULLAHI,263
CHRESTEN,263
HUSSAIN,263
MERT,263
FOLMER,262
JENS-ERIK,262
NILAS,262
ALESSANDRO,261
HEINZ,261
JORGE,261
RALPH,261
ABDULRAHMAN,260
SNORRE,260
EDIN,258
ELVIN,258
ALAA,257
SINAN,256
TOMMI,256
NATHAN,255
ROBERTO,255
THYGE,255
ABDALLAH,254
LEONARD,254
ASKER,253
KNUD-ERIK,252
ABEL,250
IOAN,249
ORHAN,249
FADI,247
METIN,247
OMER,247
ARMIN,246
ASTON,246
HACI,246
IHOR,246
THØGER,246
BOHDAN,245
HANS-ERIK,244
NIELS-JØRGEN,244
TEODOR,244
ZBIGNIEW,244
BERAT,243
GEORGIOS,243
LEJF,243
MIKA,243
BOB,242
MIKI,242
AZAD,241
ISSA,241
JENS-CHRISTIAN,241
NIKI,241
YURII,241
DENYS,240
AMER,239
EDUARD,238
SALAH,238
JIMMIE,237
NICKOLAJ,236
YASSIN,236
BENGT,235
FERDINAND,235
EJLER,234
MARCK,234
VILLE,234
FIND,233
NICKOLAI,233
GILBERT,232
HELMUTH,232
RENE',232
TAREK,231
MOSTAFA,230
RICHARDT,230
TERKEL,230
AMMAR,229
DARIUS,229
JOHNNIE,229
KAY,229
NICOLAE,229
OLEH,229
YAROSLAV,228
YAKUP,227
ASLAN,226
LUDWIG,226
ROALD,226
FRANDS,225
NIELS-HENRIK,225
TORBJØRN,225
SAAD,224
ISMET,222
RADOSLAW,222
THANH,222
BENNO,221
BURAK,221
PAULI,221
SAYED,221
TARIK,221
SAMER,220
SIGFRED,220
COLIN,219
CURT,219
AMAR,218
IMAD,218
RENÈ,218
FERNANDO,217
RAGNAR,217
SIXTEN,216
EDGAR,214
GERNER,214
DOMINIC,213
EIVIND,213
