Navn,Antal
ANNE,44143
METTE,38272
KIRSTEN,37336
HANNE,36303
ANNA,33788
HELLE,33311
SUSANNE,30329
MARIA,30045
LENE,29989
MARIANNE,26231
CAMILLA,24533
LONE,24528
LOUISE,23831
PIA,23736
CHARLOTTE,23565
TINA,23033
GITTE,22731
JETTE,22163
BENTE,21922
JULIE,21865
IDA,21646
EMMA,21335
KAREN,21282
INGE,20951
RIKKE,20850
SOFIE,19332
LAURA,18755
CHRISTINA,18573
MARIE,18183
PERNILLE,18147
BIRGIT,17720
LINE,17094
ANNETTE,16372
HEIDI,16220
ULLA,16175
BIRTHE,16168
INGER,16133
CECILIE,15301
ANETTE,15113
ELSE,14911
EVA,14739
JYTTE,14733
BIRGITTE,14375
KARIN,14330
DORTHE,14289
SIGNE,14067
LIS,13725
MATHILDE,13530
MAJA,13511
LISBETH,13460
EMILIE,13191
TRINE,13118
TOVE,12959
SARA,12805
NANNA,12737
KATRINE,12437
CAROLINE,12341
DORTE,12125
ELLEN,11869
FREJA,11765
KARINA,11668
STINE,11577
SARAH,11239
MALENE,11067
VIBEKE,10941
LISE,10844
JANE,10688
BODIL,10632
ANJA,10419
LÆRKE,10278
MIA,10253
GRETHE,10096
ISABELLA,9861
LINDA,9845
AMALIE,9246
CLARA,9208
NINA,9198
JOSEFINE,8978
ASTRID,8667
INGRID,8528
ALBERTE,8387
HENRIETTE,8132
MONA,8127
ANNI,8106
LOTTE,8025
JEANETTE,7806
VICTORIA,7771
TINE,7698
ELLA,7680
ANITA,7578
RUTH,7498
FRIDA,7478
ALMA,7376
JOHANNE,7371
AASE,7357
OLIVIA,7318
MICHELLE,7314
MILLE,7230
DITTE,7116
SONJA,7099
MIE,7024
ALICE,6863
LEA,6696
SOFIA,6673
SIMONE,6604
LAILA,6519
BETTINA,6440
ANN,6310
MARGIT,6299
JONNA,6283
KRISTINA,6256
ELISABETH,6219
HELENE,6114
AGNES,6029
BRITTA,5999
FREDERIKKE,5940
TANJA,5900
CONNIE,5896
LENA,5775
JOAN,5768
ASTA,5763
SANNE,5762
KATHRINE,5614
LIVA,5597
MERETE,5565
ANDREA,5564
RITA,5562
LISA,5547
INGA,5411
ESTHER,5378
GERDA,5251
BIRTE,5235
KAROLINE,5216
000,5155
BETINA,5135
JOSEPHINE,5135
SANDRA,5046
THEA,5036
CHRISTINE,4974
BERIT,4946
LUNA,4815
AMANDA,4811
IRENE,4782
IBEN,4752
JANNE,4751
JANNIE,4749
KARLA,4652
LIV,4650
KRISTINE,4604
ROSA,4505
CARINA,4462
SUSAN,4411
DIANA,4399
ELIN,4331
VIVI,4162
EDITH,4153
RANDI,4113
SOPHIA,4055
NADIA,4051
ANNIE,4048
KATJA,4025
NICOLINE,4006
JANNI,3966
SOLVEIG,3899
NORA,3897
ANNELISE,3768
HANNAH,3678
HELENA,3665
VERA,3636
MALOU,3568
REBECCA,3552
LISELOTTE,3528
LILLIAN,3485
KIRSTINE,3450
KAMILLA,3409
CONNY,3378
EMILY,3342
MARLENE,3314
ANE,3309
SOPHIE,3280
GRETE,3259
SIGRID,3242
NAJA,3240
ANNIKA,3228
SELMA,3178
MATILDE,3162
WINNIE,3121
ELSEBETH,3113
MAIKEN,3111
ANNE-MARIE,3069
INGELISE,3065
AYA,3036
MAYA,3029
JULIA,3000
BRITT,2971
ANNE-METTE,2968
SILJE,2968
LYKKE,2958
JASMIN,2920
CATHRINE,2845
YVONNE,2844
GRY,2835
GURLI,2818
FILIPPA,2777
EMILIA,2725
KLARA,2698
NIKOLINE,2693
FREYA,2677
HANNA,2645
LILIAN,2626
SABRINA,2624
HENNY,2593
MAJBRITT,2568
CELINA,2559
LILLY,2555
KATE,2546
SILKE,2538
TILDE,2498
THI,2456
MERLE,2452
CARLA,2423
SILLE,2405
STEPHANIE,2387
MELANIE,2384
ELLY,2314
MAI,2260
NATASJA,2250
ELENA,2209
MARGRETHE,2197
DORIS,2184
LISBET,2176
MARTHA,2175
FIE,2174
VIGGA,2168
ERNA,2165
MONICA,2142
ALBA,2141
GUDRUN,2119
LISSI,2094
VIOLA,2090
INA,2080
ANNEMETTE,2063
LINA,2061
HELEN,2052
DAGMAR,2008
EA,1993
MAJ-BRITT,1976
SINE,1958
ELLIE,1955
SIDSEL,1931
NINNA,1924
HELGA,1923
JESSICA,1917
AGNETE,1914
LILLI,1886
RONJA,1848
NADJA,1847
ANNY,1842
CECILIA,1833
LEONORA,1831
MARY,1827
JEANNE,1794
KETTY,1783
FATIMA,1774
MELISSA,1773
SALLY,1758
STELLA,1743
DINA,1742
AUGUSTA,1737
MONIKA,1736
MIRA,1730
NICOLE,1719
OLGA,1719
JENNY,1705
LISE-LOTTE,1705
MAJKEN,1705
INGE-LISE,1697
VIVIAN,1693
SABINE,1692
SIF,1681
CONNI,1673
REBEKKA,1673
INGEBORG,1669
SAGA,1662
ESTER,1654
MOLLY,1654
NATASCHA,1639
YASMIN,1635
NANA,1629
VITA,1622
ROSE,1609
MARIE-LOUISE,1605
ALEXANDRA,1596
BARBARA,1584
ELISE,1583
MINNA,1578
BETTY,1570
LILY,1537
KIRA,1512
JOHANNA,1506
THERESE,1500
ILSE,1495
THILDE,1478
EBBA,1476
SMILLA,1467
PATRICIA,1460
NATALIA,1448
DICTE,1427
ANNEMARIE,1426
KAYA,1422
VILMA,1415
RIE,1414
KAJA,1411
ISABEL,1379
NYNNE,1379
ELISA,1378
MARIAM,1376
TENNA,1376
CLAUDIA,1375
CELINE,1365
KAMMA,1361
MAJ,1353
ALINA,1351
BITTEN,1348
MAJBRIT,1347
ANA,1344
MARIANN,1326
IRMA,1322
GUNHILD,1320
MARINA,1315
AMINA,1299
MAIBRITT,1299
NATHALIE,1292
JENNIFER,1290
DORRIT,1287
ANNE-LISE,1283
ELVIRA,1280
STINA,1257
RIGMOR,1254
ALVA,1253
SUSSI,1253
VEGA,1251
NATASHA,1248
OLENA,1240
CAMILLE,1238
SISSE,1234
BENEDIKTE,1231
ELIZABETH,1221
CHRISTA,1218
CHRISTEL,1214
NATALIE,1206
MARTA,1204
FATMA,1201
SØS,1198
