Navn,ANTAL
NIELSEN,232807
JENSEN,229880
HANSEN,194739
ANDERSEN,148618
PEDERSEN,147477
CHRISTENSEN,110504
LARSEN,106295
SØRENSEN,101473
RASMUSSEN,87256
JØRGENSEN,81160
PETERSEN,71749
MADSEN,60086
KRISTENSEN,57268
OLSEN,44055
THOMSEN,38028
CHRISTIANSEN,34792
POULSEN,30262
JOHANSEN,29595
MØLLER,29346
MORTENSEN,27925
JAKOBSEN,27483
KNUDSEN,27434
JACOBSEN,23379
MIKKELSEN,22155
OLESEN,21394
FREDERIKSEN,19172
LAURSEN,17736
LUND,17341
HENRIKSEN,16438
HOLM,16187
SCHMIDT,15746
ERIKSEN,14408
KRISTIANSEN,13243
SIMONSEN,12950
CLAUSEN,12477
SVENDSEN,11142
ANDREASEN,11126
ØSTERGAARD,10870
IVERSEN,10271
VESTERGAARD,9865
KJÆR,9490
JEPPESEN,9471
NØRGAARD,9396
NISSEN,9135
LAURIDSEN,8973
MOGENSEN,8709
JESPERSEN,8599
SØNDERGAARD,8517
JEPSEN,8361
FRANDSEN,8311
DAHL,8112
SKOV,7946
JESSEN,7587
BERTELSEN,7062
CARLSEN,6848
BRUUN,6668
BACH,6588
WINTHER,6279
FRIIS,6244
CHRISTOFFERSEN,6078
LASSEN,6023
GREGERSEN,5964
ALI,5562
KROGH,5370
BECH,5213
JOHNSEN,5180
KJELDSEN,5069
RAVN,5018
TOFT,5018
STEFFENSEN,4820
BRANDT,4753
DANIELSEN,4622
LIND,4569
LAURITSEN,4563
HOLST,4525
NGUYEN,4428
OVERGAARD,4419
BERG,4397
NYGAARD,4359
DAMGAARD,4350
ANDRESEN,4342
DAM,4281
MATHIESEN,4221
BAK,4180
SØGAARD,4127
HEDEGAARD,4059
BJERREGAARD,4058
BANG,3981
SOMMER,3968
KRUSE,3891
SCHULTZ,3821
SCHOU,3813
JUUL,3804
NILSSON,3717
THORSEN,3714
HALD,3649
MATHIASEN,3617
JUHL,3606
KJÆRGAARD,3604
AHMED,3600
AAGAARD,3571
THYGESEN,3562
KARLSEN,3528
RIIS,3502
KRISTOFFERSEN,3494
MUNK,3475
HERMANSEN,3474
LORENZEN,3463
KOCH,3462
VILLADSEN,3460
KLAUSEN,3400
LORENTZEN,3312
PAULSEN,3310
BUNDGAARD,3257
LANGE,3254
DAVIDSEN,3234
BECK,3168
VINTHER,3162
BONDE,3097
HJORTH,3082
BJERRE,3051
LAURITZEN,3044
SVENSSON,3036
DALSGAARD,3023
FISCHER,3014
JUSTESEN,3008
MEYER,2996
JOHANNSEN,2963
GADE,2905
KIRKEGAARD,2880
BENDTSEN,2876
KOFOED,2746
ESKILDSEN,2745
ANDERSSON,2713
FROST,2703
HOUGAARD,2677
CARSTENSEN,2654
IBSEN,2645
KHAN,2603
