,duplicates,origin
0,Zainab,M
1,Mona,DK
2,Mina,M
3,Nadia,DK
4,Amira,M
5,Salma,M
6,Zahra,M
7,Anika,DK
8,Aya,M
9,Aisha,M
10,Miriam,B
11,Jasmin,B
12,Maria,DK
13,Mariam,M
14,Maryam,M
15,Aida,M
16,Sara,B
17,Sofia,DK
18,Lina,DK
19,Hanna,DK
20,Jasmina,M
21,Fatma,M
22,Bibi,M
23,Nadja,DK
24,Leila,M
25,May,DK
26,Iman,M
27,Fatima,M
28,Naja,DK
29,Malak,M
30,Laila,B
31,Amal,M
32,Yasmin,M
33,Sarah,B
34,Amina,M
35,Daria,M
36,Susan,DK
37,Muhammed,M
38,Youssef,M
39,Bilal,M
40,Mustafa,M
41,Mohammad,M
42,Ramazan,M
43,Anas,M
44,Muhammad,M
45,Ahmad,M
46,Khalid,M
47,Adam,DK
48,Yousef,M
49,Sami,M
50,Zakaria,M
51,Musa,M
52,Hasan,M
53,Yusuf,M
54,Amir,M
55,Mikail,DK
56,Hamza,M
57,Mohamad,M
58,Mohammed,M
59,Abbas,M
60,Abdul,M
61,Amin,M
62,Mahmoud,M
63,Adnan,M
64,Emir,M
65,Abdullah,M
66,Omar,M
67,Syed,M
68,Hussein,M
69,Jamal,M
70,Yasin,M
71,Samir,M
72,Ibrahim,M
73,Osman,M
74,Yunus,M
75,Ahmed,M
76,Mohamed,M
77,Ahmet,M
78,Younes,M
79,Elias,DK
80,Jan,DK
81,Malek,M
82,Khalil,M
83,Hamid,M
84,Hassan,M
85,Ilyas,M
86,Walid,M
87,Ali,M
88,Mehmet,M
89,Karim,M
90,Kamil,M
91,Ismail,M
92,Abdi,M
93,Said,M
94,Mahdi,M
95,Malik,M
96,Khaled,M
